film,year,filmID,actor,role,personID,repeat
The Zoo,1967,tt0061474,Shailen Mukherjee,Ajit,nm0611561,4
The Big City,1963,tt0057277,Shailen Mukherjee,,nm0611561,4
The Golden Fortress,1974,tt0072190,Shailen Mukherjee,Dr. Hemanga Hajra,nm0611561,4
Charulata,1964,tt0057935,Shailen Mukherjee,Bhupati Dutta,nm0611561,4
The Zoo,1967,tt0061474,Gitali Roy,Banalakshmi,nm0747030,4
The Big City,1963,tt0057277,Gitali Roy,,nm0747030,4
Charulata,1964,tt0057935,Gitali Roy,Mandakini,nm0747030,4
The Holy Man,1965,tt0059417,Gitali Roy,Buchki,nm0747030,4
Heerak Rajar Deshe,1980,tt0080856,Sunil Sarkar,,nm0765281,4
Distant Thunder,1973,tt0069737,Sunil Sarkar,,nm0765281,4
The Golden Fortress,1974,tt0072190,Sunil Sarkar,Mukul's father,nm0765281,4
Ghare-Baire,1984,tt0087328,Sunil Sarkar,,nm0765281,4
The Big City,1963,tt0057277,Subrata Sensharma,,nm0784478,4
Charulata,1964,tt0057935,Subrata Sensharma,Motilal,nm0784478,4
Nayak: The Hero,1966,tt0060742,Subrata Sensharma,Ajoy,nm0784478,4
Kanchenjungha,1962,tt0056134,Subrata Sensharma,Shankar,nm0784478,4
Heerak Rajar Deshe,1980,tt0080856,Rajkumar Lahiri,,nm1708115,4
The Adventures of Goopy and Bagha,1969,tt0063023,Rajkumar Lahiri,,nm1708115,4
Distant Thunder,1973,tt0069737,Rajkumar Lahiri,,nm1708115,4
Joi Baba Felunath: The Elephant God,1979,tt0077775,Rajkumar Lahiri,,nm1708115,4
The Middleman,1975,tt0074710,Satya Bannerjee,Somnath's Father,nm0051810,3
An Enemy of the People,1989,tt0097409,Satya Bannerjee,Landlord,nm0051810,3
Joi Baba Felunath: The Elephant God,1979,tt0077775,Satya Bannerjee,Niranjan,nm0051810,3
The Chess Players,1977,tt0076696,Victor Banerjee,Prime Minister,nm0051856,3
Ghare-Baire,1984,tt0087328,Victor Banerjee,Nikhilesh Choudhury,nm0051856,3
Pikoor Diary,1981,tt0082906,Victor Banerjee,The lover,nm0051856,3
Teen Kanya,1961,tt0055508,Kali Bannerjee,Phanibhushan Saha,nm0052332,3
Aparajito,1956,tt0048956,Kali Bannerjee,Kathak,nm0052332,3
Paras-Pathar,1958,tt0052046,Kali Bannerjee,Priyotosh Henry Biswas,nm0052332,3
The Stranger,1991,tt0101279,Dhritiman Chatterjee,Prithwish Sen Gupta,nm0154122,3
An Enemy of the People,1989,tt0097409,Dhritiman Chatterjee,Nishith Gupta,nm0154122,3
The Adversary,1970,tt0066237,Dhritiman Chatterjee,Siddhartha Chaudhuri,nm0154122,3
The Adventures of Goopy and Bagha,1969,tt0063023,Harindranath Chattopadhyay,The Magician,nm0154129,3
Company Limited,1971,tt0067729,Harindranath Chattopadhyay,Sir Baren Roy,nm0154129,3
The Golden Fortress,1974,tt0072190,Harindranath Chattopadhyay,Uncle Sidhu,nm0154129,3
The Middleman,1975,tt0074710,Kartik Chatterjee,,nm0154135,3
Heerak Rajar Deshe,1980,tt0080856,Kartik Chatterjee,,nm0154135,3
The Adventures of Goopy and Bagha,1969,tt0063023,Kartik Chatterjee,Court singer at Shundi / visitor to Halla,nm0154135,3
The Adventures of Goopy and Bagha,1969,tt0063023,Nripati Chatterjee,,nm0154142,3
Teen Kanya,1961,tt0055508,Nripati Chatterjee,Bishey,nm0154142,3
The Zoo,1967,tt0061474,Nripati Chatterjee,Mushkil Mia,nm0154142,3
An Enemy of the People,1989,tt0097409,Subhendu Chatterjee,Biresh Guha,nm0154166,3
The Zoo,1967,tt0061474,Subhendu Chatterjee,Bijoy,nm0154166,3
Days and Nights in the Forest,1970,tt0065417,Subhendu Chatterjee,Sanjoy,nm0154166,3
The Big City,1963,tt0057277,Tapan Chatterjee,,nm0154170,3
Heerak Rajar Deshe,1980,tt0080856,Tapan Chatterjee,Goopy Gayen,nm0154170,3
The Adventures of Goopy and Bagha,1969,tt0063023,Tapan Chatterjee,Goopy,nm0154170,3
The Middleman,1975,tt0074710,Padmadevi,Mrs. Biswas,nm0222471,3
Paras-Pathar,1958,tt0052046,Padmadevi,Guest at Cocktail Party,nm0222471,3
The Music Room,1958,tt0051792,Padmadevi,"Mahamaya, Roy's wife",nm0222471,3
Heerak Rajar Deshe,1980,tt0080856,Gopal Dey,,nm0223342,3
Nayak: The Hero,1966,tt0060742,Gopal Dey,Conductor,nm0223342,3
The Adventures of Goopy and Bagha,1969,tt0063023,Gopal Dey,Executioner,nm0223342,3
Heerak Rajar Deshe,1980,tt0080856,Noni Ganguly,,nm0304363,3
Abhijaan,1962,tt0055724,Noni Ganguly,,nm0304363,3
Distant Thunder,1973,tt0069737,Noni Ganguly,'Scarface' Jadu,nm0304363,3
Aparajito,1956,tt0048956,Charuprakash Ghosh,Nanda,nm0315882,3
Abhijaan,1962,tt0055724,Charuprakash Ghosh,Sukhanram,nm0315882,3
The Holy Man,1965,tt0059417,Charuprakash Ghosh,Birinchi Baba,nm0315882,3
The Big City,1963,tt0057277,Shyamal Ghoshal,,nm0315929,3
The Zoo,1967,tt0061474,Shyamal Ghoshal,Dr. Bhujangadhar Das,nm0315929,3
Charulata,1964,tt0057935,Shyamal Ghoshal,Umapada,nm0315929,3
Heerak Rajar Deshe,1980,tt0080856,Tarun Mitra,,nm0593973,3
The Adventures of Goopy and Bagha,1969,tt0063023,Tarun Mitra,Court singer at Shundi,nm0593973,3
Branches of the Tree,1990,tt0100587,Tarun Mitra,,nm0593973,3
Abhijaan,1962,tt0055724,Abani Mukherjee,Lawyer,nm0611505,3
The Adventures of Goopy and Bagha,1969,tt0063023,Abani Mukherjee,,nm0611505,3
Joi Baba Felunath: The Elephant God,1979,tt0077775,Abani Mukherjee,,nm0611505,3
The Big City,1963,tt0057277,Madhabi Mukherjee,Arati Mazumder,nm0611538,3
Charulata,1964,tt0057935,Madhabi Mukherjee,Charulata,nm0611538,3
The Coward,1965,tt0059348,Madhabi Mukherjee,Karuna Gupta,nm0611538,3
An Enemy of the People,1989,tt0097409,Monu Mukherjee,,nm0611540,3
Distant Thunder,1973,tt0069737,Monu Mukherjee,,nm0611540,3
Joi Baba Felunath: The Elephant God,1979,tt0077775,Monu Mukherjee,Machli Baba,nm0611540,3
The Adventures of Goopy and Bagha,1969,tt0063023,Prasad Mukherjee,King of ghosts / village elder,nm0611546,3
The Zoo,1967,tt0061474,Prasad Mukherjee,Nepal Gupta,nm0611546,3
The Holy Man,1965,tt0059417,Prasad Mukherjee,Gurupada Mitter,nm0611546,3
The Middleman,1975,tt0074710,Khagen Pathak,,nm0665546,3
The Adventures of Goopy and Bagha,1969,tt0063023,Khagen Pathak,Village elder,nm0665546,3
Teen Kanya,1961,tt0055508,Khagen Pathak,Khagen,nm0665546,3
Paras-Pathar,1958,tt0052046,Pahadi Sanyal,Guest at Cocktail Party,nm0764406,3
Days and Nights in the Forest,1970,tt0065417,Pahadi Sanyal,Sadashiv Tripathi,nm0764406,3
Kanchenjungha,1962,tt0056134,Pahadi Sanyal,Jagadish,nm0764406,3
Paras-Pathar,1958,tt0052046,Bireswar Sen,Police Officer,nm0784001,3
Abhijaan,1962,tt0055724,Bireswar Sen,,nm0784001,3
Nayak: The Hero,1966,tt0060742,Bireswar Sen,Mukunda Lahiri,nm0784001,3
Branches of the Tree,1990,tt0100587,Mamata Shankar,Tapati,nm0788164,3
An Enemy of the People,1989,tt0097409,Mamata Shankar,Indrani Gupta,nm0788164,3
The Stranger,1991,tt0101279,Mamata Shankar,Anila Bose,nm0788164,3
The Middleman,1975,tt0074710,Uttamram Nagar,,nm1840054,3
The Golden Fortress,1974,tt0072190,Uttamram Nagar,,nm1840054,3
The Chess Players,1977,tt0076696,Uttamram Nagar,,nm1840054,3
The Middleman,1975,tt0074710,Kalyan Sen,Mr. Bakshi,nm4474657,3
The Adversary,1970,tt0066237,Kalyan Sen,,nm4474657,3
Company Limited,1971,tt0067729,Kalyan Sen,,nm4474657,3
The Adversary,1970,tt0066237,Dibyendu Chatterjee,,nm4814634,3
Days and Nights in the Forest,1970,tt0065417,Dibyendu Chatterjee,,nm4814634,3
The Golden Fortress,1974,tt0072190,Dibyendu Chatterjee,,nm4814634,3
Abhijaan,1962,tt0055724,Haridhan Nag,,nm5570266,3
Pather Panchali,1955,tt0048473,Haridhan Nag,,nm5570266,3
Teen Kanya,1961,tt0055508,Haridhan Nag,,nm5570266,3
Aparajito,1956,tt0048956,Ranibala,Teliginni,nm0049302,2
Paras-Pathar,1958,tt0052046,Ranibala,Giribala Dutta,nm0049302,2
Heerak Rajar Deshe,1980,tt0080856,Ratan Banerjee,,nm0051844,2
The Adventures of Goopy and Bagha,1969,tt0063023,Ratan Banerjee,Court singer at Shundi,nm0051844,2
Nayak: The Hero,1966,tt0060742,Satya Banerjee,Swamiji,nm0051851,2
The Holy Man,1965,tt0059417,Satya Banerjee,Nitai,nm0051851,2
Aparajito,1956,tt0048956,Kanu Bannerjee,Harihar Ray,nm0052333,2
Pather Panchali,1955,tt0048473,Kanu Bannerjee,Harihar Ray,nm0052333,2
Paras-Pathar,1958,tt0052046,Gangapada Basu,Kachalu,nm0060610,2
The Music Room,1958,tt0051792,Gangapada Basu,Mahim Ganguly,nm0060610,2
Teen Kanya,1961,tt0055508,Belarani Devi,,nm0067570,2
The World of Apu,1959,tt0052572,Belarani Devi,Apu's Neighbor,nm0067570,2
Nayak: The Hero,1966,tt0060742,Bharati Devi,Manorama,nm0080249,2
Paras-Pathar,1958,tt0052046,Bharati Devi,Guest at Cocktail Party,nm0080249,2
The Holy Man,1965,tt0059417,Dilip Bose,,nm0097870,2
Charulata,1964,tt0057935,Dilip Bose,Shashanka,nm0097870,2
The Holy Man,1965,tt0059417,Somen Bose,Nibaran,nm0097900,2
Nayak: The Hero,1966,tt0060742,Somen Bose,Sankar,nm0097900,2
Pather Panchali,1955,tt0048473,Tulsi Chakraborty,"Prasanna, school teacher",nm0149831,2
Paras-Pathar,1958,tt0052046,Tulsi Chakraborty,Paresh Chandra Dutta,nm0149831,2
Teen Kanya,1961,tt0055508,Mihir Chakravarti,Rakhal,nm0149843,2
The Adversary,1970,tt0066237,Mihir Chakravarti,,nm0149843,2
The Middleman,1975,tt0074710,Lily Chakravarty,Kamala,nm0149846,2
Branches of the Tree,1990,tt0100587,Lily Chakravarty,Uma,nm0149846,2
Heerak Rajar Deshe,1980,tt0080856,Abhijit Chatterjee,,nm0154107,2
The World of Apu,1959,tt0052572,Abhijit Chatterjee,Aparna's Brother,nm0154107,2
The Adversary,1970,tt0066237,Biplab Chatterjee,,nm0154118,2
Joi Baba Felunath: The Elephant God,1979,tt0077775,Biplab Chatterjee,Bikash Singha,nm0154118,2
Nayak: The Hero,1966,tt0060742,Jogesh Chatterjee,"Aghore, elderly journalist",nm0154132,2
The World of Apu,1959,tt0052572,Jogesh Chatterjee,,nm0154132,2
Abhijaan,1962,tt0055724,Shekhar Chatterjee,Rameshwar,nm0154161,2
The Zoo,1967,tt0061474,Shekhar Chatterjee,,nm0154161,2
The Golden Fortress,1974,tt0072190,Siddhartha Chatterjee,Tapesh,nm0154162,2
Joi Baba Felunath: The Elephant God,1979,tt0077775,Siddhartha Chatterjee,Tapesh,nm0154162,2
The Stranger,1991,tt0101279,Subrata Chatterjee,Chhanda Rakshit,nm0154167,2
The Zoo,1967,tt0061474,Subrata Chatterjee,Najar Bibi,nm0154167,2
The Middleman,1975,tt0074710,Kalyan Chatterjee,Somnath's friend,nm0159537,2
The Adversary,1970,tt0066237,Kalyan Chatterjee,Shiben,nm0159537,2
Abhijaan,1962,tt0055724,Reba Devi,Joseph's mother,nm0222480,2
Pather Panchali,1955,tt0048473,Reba Devi,Seja Thakrun,nm0222480,2
The World of Apu,1959,tt0052572,Sefalika Devi,Shashinarayan's wife,nm0222490,2
The Big City,1963,tt0057277,Sefalika Devi,Sarojini,nm0222490,2
Charulata,1964,tt0057935,Nilotpal Dey,Joydeb,nm0223353,2
The Zoo,1967,tt0061474,Nilotpal Dey,Inspector,nm0223353,2
Paras-Pathar,1958,tt0052046,Jahar Ganguli,Guest at Cocktail Party,nm0304349,2
The Zoo,1967,tt0061474,Jahar Ganguli,Ramen Mullick,nm0304349,2
Aparajito,1956,tt0048956,Subodh Ganguli,Headmaster,nm0304354,2
Paras-Pathar,1958,tt0052046,Subodh Ganguli,Guest at Cocktail Party,nm0304354,2
Charulata,1964,tt0057935,Bankim Ghosh,Jagannath,nm0315878,2
The Zoo,1967,tt0061474,Bankim Ghosh,Brajadas,nm0315878,2
The Holy Man,1965,tt0059417,Nirmal Ghosh,,nm0315907,2
Nayak: The Hero,1966,tt0060742,Nirmal Ghosh,Jyoti,nm0315907,2
Branches of the Tree,1990,tt0100587,Bhishma Guhathakurta,,nm0346613,2
An Enemy of the People,1989,tt0097409,Bhishma Guhathakurta,Ranen Haldar,nm0346613,2
An Enemy of the People,1989,tt0097409,Ruma Guha Thakurta,Maya Gupta,nm0346614,2
Abhijaan,1962,tt0055724,Ruma Guha Thakurta,Neeli,nm0346614,2
Aparajito,1956,tt0048956,Pinaki Sengupta,Apu,nm0348483,2
The Music Room,1958,tt0051792,Pinaki Sengupta,"Khoka, Roy's Son",nm0348483,2
The Goddess,1960,tt0053765,Bholanath Koyal,,nm0468698,2
Charulata,1964,tt0057935,Bholanath Koyal,Braja,nm0468698,2
Nayak: The Hero,1966,tt0060742,Uttam Kumar,Arindam Mukherjee,nm0474907,2
The Zoo,1967,tt0061474,Uttam Kumar,Satyanweshi Byomkesh,nm0474907,2
Paras-Pathar,1958,tt0052046,Tulsi Lahiri,Guest at Cocktail Party,nm0481576,2
The Music Room,1958,tt0051792,Tulsi Lahiri,Manager of Roy's Estate,nm0481576,2
The Zoo,1967,tt0061474,Kanika Majumdar,Damayanti,nm0538293,2
Teen Kanya,1961,tt0055508,Kanika Majumdar,Manimalika,nm0538293,2
An Enemy of the People,1989,tt0097409,Manoj Mitra,,nm0593953,2
Ghare-Baire,1984,tt0087328,Manoj Mitra,Headmaster,nm0593953,2
The Golden Fortress,1974,tt0072190,Ashok Mukherjee,Journalist,nm0611513,2
Branches of the Tree,1990,tt0100587,Ashok Mukherjee,,nm0611513,2
Branches of the Tree,1990,tt0100587,Pradip Mukherjee,Reporter,nm0611544,2
The Middleman,1975,tt0074710,Pradip Mukherjee,Somnath,nm0611544,2
The Goddess,1960,tt0053765,Tarapada Nandy,,nm0620827,2
The Music Room,1958,tt0051792,Tarapada Nandy,,nm0620827,2
The Zoo,1967,tt0061474,Devi Neogy,,nm0626099,2
Teen Kanya,1961,tt0055508,Devi Neogy,Haripada,nm0626099,2
The Adventures of Goopy and Bagha,1969,tt0063023,Jahar Roy,Prime Minister of Halla,nm0712854,2
Paras-Pathar,1958,tt0052046,Jahar Roy,Bhajahari,nm0712854,2
Abhijaan,1962,tt0055724,Arun Roy,Naskar,nm0746935,2
Distant Thunder,1973,tt0069737,Arun Roy,,nm0746935,2
The Adventures of Goopy and Bagha,1969,tt0063023,Chinmoy Roy,Spy of Halla,nm0746961,2
The Zoo,1967,tt0061474,Chinmoy Roy,Panugopal,nm0746961,2
Paras-Pathar,1958,tt0052046,Renuka Roy,Guest at Cocktail Party,nm0747159,2
The Holy Man,1965,tt0059417,Renuka Roy,Nani's wife,nm0747159,2
The Goddess,1960,tt0053765,Kali Sarkar,Professor Sarkar,nm0765269,2
The Music Room,1958,tt0051792,Kali Sarkar,Roy's Servant,nm0765269,2
The Adversary,1970,tt0066237,Miss Shefali,Lotika,nm0790750,2
Company Limited,1971,tt0067729,Miss Shefali,Cabaret Dancer,nm0790750,2
Branches of the Tree,1990,tt0100587,Rajaram Yagnik,Dr. Sahay,nm0944929,2
An Enemy of the People,1989,tt0097409,Rajaram Yagnik,Mr. Bhargav,nm0944929,2
The Middleman,1975,tt0074710,Bimal Deb,Jagabandhu,nm1045149,2
Heerak Rajar Deshe,1980,tt0080856,Bimal Deb,,nm1045149,2
Abhijaan,1962,tt0055724,Durgadas Bannerjee,,nm1274537,2
The Adventures of Goopy and Bagha,1969,tt0063023,Durgadas Bannerjee,King of Amloki,nm1274537,2
The World of Apu,1959,tt0052572,Panchanan Bhattacharya,,nm1434574,2
Aparajito,1956,tt0048956,Panchanan Bhattacharya,,nm1434574,2
The Chess Players,1977,tt0076696,Khairatilal Lahori,,nm1839940,2
Days and Nights in the Forest,1970,tt0065417,Khairatilal Lahori,,nm1839940,2
Nayak: The Hero,1966,tt0060742,Dilip Bose,,nm4435113,2
The Adventures of Goopy and Bagha,1969,tt0063023,Dilip Bose,,nm4435113,2
Heerak Rajar Deshe,1980,tt0080856,Samaresh Banerjee,,nm4462919,2
The Middleman,1975,tt0074710,Samaresh Banerjee,,nm4462919,2
An Enemy of the People,1989,tt0097409,Tinu Ghosh,,nm4512599,2
Ghare-Baire,1984,tt0087328,Tinu Ghosh,,nm4512599,2
Abhijaan,1962,tt0055724,Samar Nag,,nm4554192,2
Days and Nights in the Forest,1970,tt0065417,Samar Nag,,nm4554192,2
The Adventures of Goopy and Bagha,1969,tt0063023,Binoy Dutta,,nm4557729,2
The Zoo,1967,tt0061474,Binoy Dutta,,nm4557729,2
